Patent Records:
(inventor_first_name, faculty_first_name, faculty_last_name, inventor_city, inventor_state, grantee_name, patent_document_number, document_date, title_of_invention)
('Rayadurgam', 'Rayadurgam', 'Srikant', 'Urbana', 'IL', 'The Board of Trustees of the University of Illinois', '06728257', '20040427', 'Fluid flow fair scheduling emulation in wireless shared channel packet communication network')
('Josep', 'Josep', 'Torrellas', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07711988', '20100504', 'Architecture support system and method for memory monitoring')
('Shobha', 'Shobha', 'Vasudevan', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '09021409', '20150428', 'Integration of data mining and static analysis for hardware design verification')
('Benjamin Wan-Sang', 'Benjamin', 'Wah', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '06754203', '20040622', 'Method and program product for organizing data into packets')
('Zhigang', 'Gang', 'Wang', 'Montreal', 'null', 'The Board of Trustees of the University of Illinois', '06867323', '20050315', 'Cross-coupling reaction of organosilicon nucleophiles')
('Ouri', 'Ouri', 'Wolfson', 'Highland Park', 'IL', 'Board of Trustees of the University of Illinois', '06968271', '20051122', 'Method and system for querying in a moving object database')
('Ouri', 'Ouri', 'Wolfson', 'Highland Park', 'IL', 'Board of Trustees of the University of Illinois', '06965827', '20051115', 'Method and system for tracking moving objects')
('ChengXiang', 'ChengXiang', 'Zhai', 'Champaign', 'IL', 'The Board of Trustees of The University of Illinois', '08442973', '20130514', 'Real time implicit user modeling for personalized search')
('Yuanyuan', 'Yuan', 'Zhou', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '07711988', '20100504', 'Architecture support system and method for memory monitoring')
('Yuanyuan', 'Yuan', 'Zhou', 'Champaign', 'IL', 'The Board of Trustees of the University of Illinois', '08533681', '20130910', 'Atomicity violation detection using access interleaving invariants')
Number of patents found: 94
